Rank,Metro ,States,Population 2019,Population 2010,Growth ,,,,
1,New York City-Newark-Jersey City,NY-NJ-PA MSA,19216182,18897109,1.69%,,"19,216,182","18,897,109","New York City-Newark-Jersey City, NY-NJ-PA MSA"
2,Los Angeles-Long Beach-Anaheim,CA MSA,13214799,12828837,3.01%,,"13,214,799","12,828,837","Los Angeles-Long Beach-Anaheim, CA MSA"
3,Chicago-Naperville-Elgin,IL-IN-WI MSA,9458539,9461105,−0.03%,,"9,458,539","9,461,105","Chicago-Naperville-Elgin, IL-IN-WI MSA"
4,Dallas-Fort Worth-Arlington,TX MSA,7573136,6366542,18.95%,,"7,573,136","6,366,542","Dallas-Fort Worth-Arlington, TX MSA"
5,Houston-The Woodlands-Sugar Land,TX MSA,7066141,5920416,19.35%,,"7,066,141","5,920,416","Houston-The Woodlands-Sugar Land, TX MSA"
6,Washington-Arlington-Alexandria,DC-VA-MD-WV MSA,6280487,5649540,11.17%,,"6,280,487","5,649,540","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
7,Miami-Fort Lauderdale-West Palm Beach,FL MSA,6166488,5564635,10.82%,,"6,166,488","5,564,635","Miami-Fort Lauderdale-West Palm Beach, FL MSA"
8,Philadelphia-Camden-Wilmington,PA-NJ-DE-MD MSA,6102434,5965343,2.30%,,"6,102,434","5,965,343","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
9,Atlanta-Sandy Springs-Alpharetta,GA MSA,6020364,5286728,13.88%,,"6,020,364","5,286,728","Atlanta-Sandy Springs-Alpharetta, GA MSA"
10,Phoenix-Mesa-Chandler,AZ MSA,4948203,4192887,18.01%,,"4,948,203","4,192,887","Phoenix-Mesa-Chandler, AZ MSA"
11,Boston-Cambridge-Newton,MA-NH MSA,4873019,4552402,7.04%,,"4,873,019","4,552,402","Boston-Cambridge-Newton, MA-NH MSA"
12,San Francisco-Oakland-Berkeley,CA MSA,4731803,4335391,9.14%,,"4,731,803","4,335,391","San Francisco-Oakland-Berkeley, CA MSA"
13,Riverside-San Bernardino-Ontario,CA MSA,4650631,4224851,10.08%,,"4,650,631","4,224,851","Riverside-San Bernardino-Ontario, CA MSA"
14,Detroit–Warren–Dearborn,MI MSA,4319629,4296250,0.54%,,"4,319,629","4,296,250","Detroit–Warren–Dearborn, MI MSA"
15,Seattle-Tacoma-Bellevue,WA MSA,3979845,3439809,15.70%,,"3,979,845","3,439,809","Seattle-Tacoma-Bellevue, WA MSA"
16,Minneapolis-St. Paul-Bloomington,MN-WI MSA,3654908,3346859,9.20%,,"3,654,908","3,346,859","Minneapolis-St. Paul-Bloomington, MN-WI MSA"
17,San Diego-Chula Vista-Carlsbad,CA MSA,3338330,3095313,7.85%,,"3,338,330","3,095,313","San Diego-Chula Vista-Carlsbad, CA MSA"
18,Tampa-St. Petersburg-Clearwater,FL MSA,3194831,2783243,14.79%,,"3,194,831","2,783,243","Tampa-St. Petersburg-Clearwater, FL MSA"
19,Denver-Aurora-Lakewood,CO MSA,2967239,2543482,16.66%,,"2,967,239","2,543,482","Denver-Aurora-Lakewood, CO MSA"
20,St. Louis,MO-IL MSA,2803228,2787701,0.56%,,"2,803,228","2,787,701","St. Louis, MO-IL MSA"
21,Baltimore-Columbia-Towson,MD MSA,2800053,2710489,3.30%,,"2,800,053","2,710,489","Baltimore-Columbia-Towson, MD MSA"
22,Charlotte-Concord-Gastonia,NC-SC MSA,2636883,2243960,17.51%,,"2,636,883","2,243,960","Charlotte-Concord-Gastonia, NC-SC MSA"
23,Orlando-Kissimmee-Sanford,FL MSA,2608147,2134411,22.20%,,"2,608,147","2,134,411","Orlando-Kissimmee-Sanford, FL MSA"
24,San Antonio-New Braunfels,TX MSA,2550960,2142508,19.06%,,"2,550,960","2,142,508","San Antonio-New Braunfels, TX MSA"
25,Portland-Vancouver-Hillsboro,OR-WA MSA,2492412,2226009,11.97%,,"2,492,412","2,226,009","Portland-Vancouver-Hillsboro, OR-WA MSA"
26,Sacramento-Roseville-Folsom,CA MSA,2363730,2149127,9.99%,,"2,363,730","2,149,127","Sacramento-Roseville-Folsom, CA MSA"
27,Pittsburgh,PA MSA,2317600,2356285,−1.64%,,"2,317,600","2,356,285","Pittsburgh, PA MSA"
28,Las Vegas-Henderson-Paradise,NV MSA,2266715,1951269,16.17%,,"2,266,715","1,951,269","Las Vegas-Henderson-Paradise, NV MSA"
29,Austin-Round Rock-Georgetown,TX MSA,2227083,1716289,29.76%,,"2,227,083","1,716,289","Austin-Round Rock-Georgetown, TX MSA"
30,Cincinnati,OH-KY-IN MSA,2221208,2137667,3.91%,,"2,221,208","2,137,667","Cincinnati, OH-KY-IN MSA"
31,Kansas City,MO-KS MSA,2157990,2009342,7.40%,,"2,157,990","2,009,342","Kansas City, MO-KS MSA"
32,Columbus,OH MSA,2122271,1901974,11.58%,,"2,122,271","1,901,974","Columbus, OH MSA"
33,Indianapolis-Carmel-Anderson,IN MSA,2074537,1887877,9.89%,,"2,074,537","1,887,877","Indianapolis-Carmel-Anderson, IN MSA"
34,Cleveland-Elyria,OH MSA,2048449,2077240,−1.39%,,"2,048,449","2,077,240","Cleveland-Elyria, OH MSA"
35,San Jose-Sunnyvale-Santa Clara,CA MSA,1990660,1836911,8.37%,,"1,990,660","1,836,911","San Jose-Sunnyvale-Santa Clara, CA MSA"
36,Nashville-Davidson–Murfreesboro–Franklin,TN MSA,1934317,1646200,17.50%,,"1,934,317","1,646,200","Nashville-Davidson–Murfreesboro–Franklin, TN MSA"
37,Virginia Beach-Norfolk-Newport News,VA-NC MSA,1768901,1713954,3.21%,,"1,768,901","1,713,954","Virginia Beach-Norfolk-Newport News, VA-NC MSA"
38,Providence-Warwick,RI-MA MSA,1624578,1600852,1.48%,,"1,624,578","1,600,852","Providence-Warwick, RI-MA MSA"
39,Milwaukee-Waukesha,WI MSA,1575179,1555908,1.24%,,"1,575,179","1,555,908","Milwaukee-Waukesha, WI MSA"
40,Jacksonville,FL MSA,1559514,1345596,15.90%,,"1,559,514","1,345,596","Jacksonville, FL MSA"
41,Oklahoma City,OK MSA,1408950,1252987,12.45%,,"1,408,950","1,252,987","Oklahoma City, OK MSA"
42,Raleigh-Cary,NC MSA,1390785,1130490,23.02%,,"1,390,785","1,130,490","Raleigh-Cary, NC MSA"
43,Memphis,TN-MS-AR MSA,1346045,1316100,2.28%,,"1,346,045","1,316,100","Memphis, TN-MS-AR MSA"
44,Richmond,VA MSA,1291900,1186501,8.88%,,"1,291,900","1,186,501","Richmond, VA MSA"
45,New Orleans-Metairie,LA MSA,1270530,1189866,6.78%,,"1,270,530","1,189,866","New Orleans-Metairie, LA MSA"
46,Louisville/Jefferson County,KY-IN MSA,1265108,1202718,5.19%,,"1,265,108","1,202,718","Louisville/Jefferson County, KY-IN MSA"
